texto
'@odimau @gduvivier não adianta: pelegos do pt têm merda na cabeça  gosta de comunista ladrãovai pra cuba ver o que ébom #bolsonaro2018 :///kcjp1avx9m'
'@graavieira vc quer eh mortadela e bolsa família'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
'@esuplicy '
'@lulapelobrasil eis o caminho e a verdade #bolsonaro2018  :///kgd2wywqbx'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
'  #lulainelegivel :///mxxnqczltx'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
"'@lulapelobrasil eles provaram, por isso é réu em 7 inquéritos e já condenado em 1 vai faltar dedos pra tantos inquéritos '"
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
"' @adrianadririo: olê olê, olê olê, eu fui pra rua pra derrubar o pt   chora petista - la banda loka liberal  ://t…'"
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
"'@lulapelobrasil verdade molusco, as pessoas de bem querem , que venha a decisão do trf4 para ir dormir em um presídio'"
' :///6bnrgtkich'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
'@ptbrasil @lulapelobrasil #obrasilqueopovoquer  :///iajq68hmcm'
' @luxajuda: bandido diz que bandido tem que ser preso    :///wk9gzmzbyl'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
'@luxajuda sábias palavras '
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
' @fotoclanovaes: @muylaerte não tenho estômago para assistir vídeos do '
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
"' @adrianadririo: olê olê, olê olê, eu fui pra rua pra derrubar o pt   chora petista - la banda loka liberal  ://t…'"
' @luxajuda: bandido diz que bandido tem que ser preso    :///wk9gzmzbyl'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
' @fotoclanovaes: @muylaerte não tenho estômago para assistir vídeos do '
' @adrianadririo:  preso e condenado pelo bem do brasil  atirei o pau no lula :///jgakxpfjjl'
' @titoporto10: @lulapelobrasil  :///mppeo5gtlz'
'@bbcbrasil continuem assim força companheiros '
'@lulapelobrasil vc é essa elite né '
'@lulapelobrasil lula na cadeia queremos '
"'@ptbrasil @ajulysantos @lulapelobrasil 15 anos no poder e deixaram o que um país falido, sem educação, sem saúde e nas mãos da bandidagem  #unidossomosfortes'"
' @luxajuda: eu sou honesto doutor moro   :///fgqk0xekmw'
' @luxajuda: eu sou honesto doutor moro   :///fgqk0xekmw'
'vamos dizer pra ele o que o brasil quer  :///wdjv8uvkzs'
'@lulapelobrasil quinta feira é dia de pinga no café da manhã chupa @jqteixeira aqui o fim de semana já começou #pas '
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
' @iaragb: @lulapelobrasil lula na cadeia queremos '
'bandido quer ser presidente    chupa que a cana é doce :///b9kvmun6vz'
'pt bandido e ladrão quer demonstrar ética e integridade   :///98xsdbxipx'
'@marciafab @lulapelobrasil '
' @gilmargdss: #lulareu mais uma vez na operação #zelotes veja no link abixo :///w30fyx9d5u   #lavajato #lula…'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
' @gilmargdss: veja a discussão do #lula com juiz #sérgiomoro no link :///pzea98knpg #lulapreso   $bolsomito #bolsonaro #b…'
' @iaragb: vamos dizer pra ele o que o brasil quer  :///wdjv8uvkzs'
' @luxajuda: pt bandido e ladrão quer demonstrar ética e integridade   :///98xsdbxipx'
':///mopy4l7al4 #politica #lavajato #policiafederal #corrupçao #foracorruptos #ptnuncamais  #foratemer #sos #brasil'
'chupaqueacanaédoce quer ser presidente do brasil    :///hos5tdcqd2'
"'para uma legião de seguidores, o corrupto lula continua sendo o queridinho #opniaoenoticia  :///jrzkbompbi :///q5b9wqjit3'"
' @gilmargdss: veja no link abaixo o depoimento de palocci ao juiz sérgio moro  :///7uarnsgpzf #lavajato #lavajato  #lulan…'
"' @gilmargdss: janot denuncia lula, dilma, gleisi,palocci, edinho, mantega, paulo bernardo e vaccari :///90tolnuqwi    #fo…'"
'hihihi    :///6kbjneyjnf'
"'para uma legião de seguidores, o corrupto lula continua sendo o queridinho #opniaoenoticia  :///0kzhg4bhzz :///iefkiyo3cf'"
"'@lulapelobrasil claro, porque o resto que tem ou está no nome de laranjas ou bloqueado na justiça vá pro inferno lula '"
'chupaqueacanaédoce quer ser presidente do brasil pra não ser preso   :///yen9aqzeir'
'vitória do povo brasileiro  :///idsyefuvu8'
'xupakeakanaedoce diz que a cana é doce mas não quer ir em cana    :///hos5tdcqd2'
"'#brasilqueopovoquer o brasil livre da quadrilha do pt, pmdb e psdb '"
'onde xupakeakanaedoce escondeu o dinheiro que o pt roubou do brasil   :///hos5tdcqd2'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
'xupakeakanaedoce vai ser preso antes do natal ou depois do natal    :///hos5tdcqd2'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
' @iaragb: vamos dizer pra ele o que o brasil quer  :///wdjv8uvkzs'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
' @luxajuda: xupakeakanaedoce vai ser preso antes do natal ou depois do natal    :///hos5tdcqd2'
"'para destruir o brasil, aperta 13 e confirma #ptnuncamais  #tocommoro :///9yx1s1yl2u'"
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
'@josemedeirosmt '
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
"'@uolnoticias rato, sem vergonha, pinguço, safado, bandido, covarde, filho de uma puta, ladrão, assassino, vagabundo, pé de chinelo, jumento '"
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
'@bbcbrasil seria um favor enorme a nação  #chegadepropina'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
'e agora companheiros   kalil bittar entrega lula o sítio de atibaia é dele   :///jovcsrexvf'
'@lulapelobrasil #intervencaomilitar  '
'lula defende renovação e diz que pt precisa de lideranças mais espertas espertas em que sentido  :///mj41jywspe'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
"'dos grandes intelectuais formadores de opiniao desse pais, e que defendem #minc, quantos tiveram o privilegio da lei rouanet '"
"'#brasilqueopovoquer  tem lula, maior ladrão da história deste país na cadeia '"
"'joice nos representa sua leitura, independência e sinceridade é + q todos jornalistas somados #mourao #gotrump  bolsonaro2018'"
'94% dos brasileiros querem e esperam a prisão de lula ladrão    chega de impunidade :///vyhhavjpxt'
' independe dos idiotas que o apoiam :///k0xi9jplni'
' @bhuoriescaussoy: lula defende renovação e diz que pt precisa de lideranças mais espertas espertas em que sentido  ht…'
"'@gleisi não esqueça, queremos você e seu bando na cadeia #brasilqueopovoquer '"
'comando do pt discute suspensão de antônio palocci do partido e o lula quando irá ser suspenso  :///b3c6cp89jx'
' @bhuoriescaussoy: lula defende renovação e diz que pt precisa de lideranças mais espertas espertas em que sentido  ht…'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
"'‘eles estão mexendo com um político que não roubou, diz lula, sobre investigações :///quio14qcmb  #lulaladrao'"
' @mary_greicy: 94% dos brasileiros querem e esperam a prisão de lula ladrão    chega de impunidade :///vyhha…'
'#brasilqueopovoquer   #ptnuncamais'
'defesa tenta suspender ação que envolve compra de prédio para o @inst_lula :///3ksbxw3xyh ñ conseguirão '
' @titoporto10: @lulapelobrasil  :///mppeo5gtlz'
' @titoporto10:  independe dos idiotas que o apoiam :///k0xi9jplni'
'@mari57061862 antes fosse  #ptnuncamais  #brasilqueopovoquer'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
'sem limites para ser ridículo  :///ic5nyhc4l2'
"'esqueceu da segurança, senador @ronaldocaiado mas, entendo, pagamos para políticos @democratas #seguranca #maioridadepenal  :///fgoj2dyaob'"
'@veja e vc mexeu com um povo que não é idiota '
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
'#brasil  pelo fim da impunidade :///xno7q3fisn'
'@lindberghfarias o #brasilqueopovoquer é um país livre dessa ocrim que destruiu o país  :///uwmpip4lnz'
' @bhuoriescaussoy: comando do pt discute suspensão de antônio palocci do partido e o lula quando irá ser suspenso  :/…'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
'@confiante3 @lulapelobrasil kkkkk eu quero '
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
"'nine fingers, prestes a virar ennearéu '"
' @paulxbrow2: e agora companheiros   kalil bittar entrega lula o sítio de atibaia é dele   :///jovcsrexvf'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
'te anima não petralha o que foi aceito foi a análise do pedido tem que provar que ele fez algo errado  :///gzps6ssims'
'realmente o brasil é o país da piada pronta 😂🤣😂  @belcarvalho5 @ppreacarn @athiabalba @macunaimaz @japadrika @luciamoura00 :///au0u4isuvq'
' @bhuoriescaussoy: lula defende renovação e diz que pt precisa de lideranças mais espertas espertas em que sentido  ht…'
' @giselecaso: realmente o brasil é o país da piada pronta 😂🤣😂  @belcarvalho5 @ppreacarn @athiabalba @macunaimaz… '
"'#brasilqueopovoquer é um país decente e só conseguiremos essa vitória quando o canalha for p/ cadeia, onde é seu devido lugar  :///euelx6yf1h'"
'deus é pai :///vxdzgpfpmu'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
' @giselecaso: realmente o brasil é o país da piada pronta 😂🤣😂  @belcarvalho5 @ppreacarn @athiabalba @macunaimaz… '
'não roubou poucoroubou muito junto com a quadrilha do pt     :///nugogqsgcv'
' @giselecaso: realmente o brasil é o país da piada pronta 😂🤣😂  @belcarvalho5 @ppreacarn @athiabalba @macunaimaz… '
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
'@blogdojefferson vai ser um misto de ópera bufa e bebê de rosimary que povo doido '
'@terezaneuman1 me dá asco ver pessoas defendendo um canalha corrupto preguiça e hipocrisia faz parte do seu bando '
'segundamente '
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
"'pf indicia os irmãos batista, amigões de lula e dilma, por uso de informação privilegiada #ucho  :///rwpungxwgl :///mlabu5gmcg'"
' @bhuoriescaussoy: comando do pt discute suspensão de antônio palocci do partido e o lula quando irá ser suspenso  :/…'
'@exame hahaha conversinha furada e tem gente que acredita nesse cidadão #reformapolitica #nãoaodestritão  #limpezanocongresso'
'@exame algo melhor = venezuela 20 '
"'@jandira_feghali ele só está tentando validar a própria delação premiada você deveria torcer para a assinatura ser verdadeira, trouxa '"
' @amaury_andrade: @blogdojefferson vai ser um misto de ópera bufa e bebê de rosimary que povo doido '
"' @direita_blog: pf indicia os irmãos batista, amigões de lula e dilma, por uso de informação privilegiada #ucho … '"
"' @direita_blog: pf indicia os irmãos batista, amigões de lula e dilma, por uso de informação privilegiada #ucho … '"
'#globonews  temer aecio gleisi lindbergh f todos na cadeia queremos dinh de volta aos cofres públicos'
'@lulapelobrasil #bolsonaro2018   :///ezjdgquqf5'
'lula a policiais federais: “são verdadeiros analfabetos políticos”  mas q fdp   :///tsm42prvp9'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
'#rockinrionomultishow mto rock     queremos dinheiro de volta aos cofres públicos'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
' @iaragb: vamos dizer pra ele o que o brasil quer  :///wdjv8uvkzs'
"'@veja que nada, foi tudo a dona marisa aeu vagabundo, ladrão   #bolsonaro2018'"
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
'@luiz_prudenci @geazi_damarys @gleisi falou o wolverine  #ptnuncamais  #saquearamobrasik'
'moro dá 15 dias a lula para provar que valores bloqueados são de marisa   :///zql7jiuiqg :///wahonlwf0z'
'@luiz_prudenci @geazi_damarys @gleisi assim falou o wolverine   #13milhoesdereaisapreendidos #ptnuncamais'
' @pastorliomar: não roubou poucoroubou muito junto com a quadrilha do pt     :///nugogqsgcv'
"'@terezaneuman1 ninguém esta querendo matar, afinal ja esta morto e em 2018 iremos enterra-lo definitivamente '"
' :///gtzxqkvfrc'
'@lulapelobrasil e depois desviaram bilhões de reais e montaram o maior esquema de máfia governamental já visto no #brasil  #ptnuncamais'
' @giselecaso: realmente o brasil é o país da piada pronta 😂🤣😂  @belcarvalho5 @ppreacarn @athiabalba @macunaimaz… '
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
' @giselecaso: realmente o brasil é o país da piada pronta 😂🤣😂  @belcarvalho5 @ppreacarn @athiabalba @macunaimaz… '
"'@estadao pior ele, analfabeto educacional e corrupto, mas vai ter a opção de fazer o telecurso 2000 na papuda '"
"'meu deus, quanta blasfêmia em uma só frase, cadeia te espera molusco  :///fqfbnzlx8n'"
"'lula é hostilizado em salvador  tchau, querido   já  :///niocbhiill'"
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
"'então, que a justiça puna o @ptbrasil e a sra @gleisi por não cumprimento da lei, pois lula estará preso  :///2khbpwzbfz'"
' @paulacamara_: moro dá 15 dias a lula para provar que valores bloqueados são de marisa   :///zql7jiuiqg ://t…'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
'@lulapelobrasil estamos participando e pedindo  e #bolsonaro2018'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
'@giselecaso @athiabalba @belcarvalho5 @ppreacarn @macunaimaz @japadrika @luciamoura00 ah tá   @veja'
' @renansil54: #tocommoro   '
"'não roubou pouco   ‘eles estão mexendo com um político que não roubou, diz lula sobre investigações :///x72hwb8rb7'"
'@jornaloglobo '
'mais uma conquista do @lulapelobrasil  :///41lzhih9pm'
' @gilmargdss: #lulareu mais uma vez na operação #zelotes veja no link abixo :///w30fyx9d5u   #lavajato #lula…'
' @gilmargdss: veja a discussão do #lula com juiz #sérgiomoro no link :///pzea98knpg #lulapreso   $bolsomito #bolsonaro #b…'
' @gilmargdss: veja no link abaixo o depoimento de palocci ao juiz sérgio moro  :///7uarnsgpzf #lavajato #lavajato  #lulan…'
"' @gilmargdss: janot denuncia lula, dilma, gleisi,palocci, edinho, mantega, paulo bernardo e vaccari :///90tolnuqwi    #fo…'"
' @paulacamara_: moro dá 15 dias a lula para provar que valores bloqueados são de marisa   :///zql7jiuiqg ://t…'
'o cara pra defender o lula de duas uma: está agindo de má fé ou foi lobotizado  '
' @anaamvs_sanches: @giselecaso @athiabalba @belcarvalho5 @ppreacarn @macunaimaz @japadrika @luciamoura00 ah tá   @veja'
'@jc_pe '
' @paulacamara_: nova propaganda do pt é afronta ao povo brasileiro   :///46qrlgdbfv :///kvirsxbveb'
' @bhuoriescaussoy: lula defende renovação e diz que pt precisa de lideranças mais espertas espertas em que sentido  ht…'
'@jornaloglobo @jwellingtonmelo que não roubou pouco  pilantra há de morrer na cadeia #lulachefedaorcrim '
'subprocuradora não defendeu suspeição de moro :///wbc7sj8kmz #lulanuncamais  '
'@estadao na frente de moro vira moça '
' @arcofi: subprocuradora não defendeu suspeição de moro :///wbc7sj8kmz #lulanuncamais  '
'@rickmazzorana  + petistas'
'@janainadobrasil vão inventar agora a suspeição do moro e arguir nulidades  que palhaçada'
' @arcofi: subprocuradora não defendeu suspeição de moro :///wbc7sj8kmz #lulanuncamais  '
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
'@janainadobrasil  será presidente se essa palhaçada continuar'
' @arcofi: subprocuradora não defendeu suspeição de moro :///wbc7sj8kmz #lulanuncamais  '
'@spacediegoghost @mariadorosario @ptbrasil        #privatizatudo'
'@luciano_ger @mariadorosario #privatizatudo   '
'  #lulainelegivel :///y6mtf0gllx'
' @arcofi: subprocuradora não defendeu suspeição de moro :///wbc7sj8kmz #lulanuncamais  '
"'@ptnacional/@ptbrasil vai discutir brasil que o povo quer#respostaimediata :um país com  fora isso, nenhum acordo :///6srakw4px6'"
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
'94% dos brasileiros querem a #extinçãodopt e seus aliados políticos corruptos   :///3g0bvjhldd'
'essa nova desta defesa kkkk  :///j4bujcv4mo'
' :///7ahw0jlu48'
'🎥 🇧🇷 #revoltadosonline no front 🎥 👍 #compartilhe  usem a hashtag  juntos somos mais fortes e com :///zal3lcjqah'
' @patygiani:  :///177wtkcdyl'
' @paulacamara_: moro dá 15 dias a lula para provar que valores bloqueados são de marisa   :///zql7jiuiqg ://t…'
'@mary_mayah @terezaneuman1 demorou já👊👊'
"'lula, o maior ladrao da historia do brasil ainda solto, isso é uma vergonha  #luladrao #vergonhanacional #justiça'"
"'@frank16ortela @youtube bode expiatório  🙈🙈🙈🤦‍♀️🤦‍♀️🤦‍♀️   por favor, não ofenda o bode  #lulachefedaorcrim '"
"'serve para as pessoas não esquecerem quem é o maior ladrão do país, só isso tá bom, né  @ptbrasil @lulapelobrasil :///qvxpbfafpi'"
' @marcellusberro: @mary_mayah @terezaneuman1 demorou já👊👊'
'@desconh21 @canedo3105 @jqteixeira @pabllovittar tudo no seu devido tempo '
' invadir um país pela selva tendo os marines é idéia de comunista burro o  brasil  reforça as fronteiras para o lixo não sair :///koopa1pqns'
' @giselecaso: realmente o brasil é o país da piada pronta 😂🤣😂  @belcarvalho5 @ppreacarn @athiabalba @macunaimaz… '
'@o_antagonista @maryzina '
' @bhuoriescaussoy: lula defende renovação e diz que pt precisa de lideranças mais espertas espertas em que sentido  ht…'
' 👍🇧🇷 :///ghexjm4hhx'
"'ah sim, lula sairá vencedor se concorrer,a lava privadas da cadeia @gleisi vc tá certa  #lulanuncamais :///tea0pctgpj'"
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
'@lulapelobrasil '
'@jornaloglobo kkkk é por declarações como esta que este traste que arruinou o país aparece no google como  o homem mais mentiroso do mundo '
' @mary_greicy: 94% dos brasileiros querem a #extinçãodopt e seus aliados políticos corruptos   :///3g0bvjhldd'
' @giselecaso: realmente o brasil é o país da piada pronta 😂🤣😂  @belcarvalho5 @ppreacarn @athiabalba @macunaimaz… '
' @somerlux: @humbertocostapt  #rockinrio2017 #rockinrio  #ptroubouinibidores anfepramona femproporex mazind… '
'botem logo o chefe da orcrim  com seus cúmplices p acabar com esse mimimi  basta de impunidade 😤 :///7j4mazqhii'
'@o_antagonista gleisi finge que vive em uma realidade paralela ela sabe muito bem onde lula estará em 2018 '
' @paulxbrow2: e agora companheiros   kalil bittar entrega lula o sítio de atibaia é dele   :///jovcsrexvf'
"'se não cravarmos ele ficará impunehá movimentação da esquerda no sentido de mantê-lo impune,dallagnol esteve na casa decaetano'"
"' @lcrive: se não cravarmos ele ficará impunehá movimentação da esquerda no sentido de mantê-lo impune,dallagnol esteve na c…'"
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
'@metropoles queremos lula preso   escreve ai   '
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
' @fabiojcbranco: @gleisi #ptnuncamais '
'#satander  #foratemer :///hulqtpdryk'
"'@lindberghfarias o brasil tem fome de justiça também,    e #bolsonaro2018'"
'#intervencaomilitar  #foratemer :///z6x8nqr6hu'
'‘a alma mais honesta deste país’ ataca de novo  #oantagonista :///viusub205f :///1qwzwgvpvl'
'#gotrump  #foratemer :///3dy5ny2roq'
'importante é o se concorrer😂😂😂 do tipo não vai acontecer  :///3wmzk4pkbw'
"'‘eles estão mexendo com um político que não roubou, diz lula sobre investigações :///jxkenth3x8  roubou, sim  '"
"' @fmaier50: lula é hostilizado em salvador  tchau, querido   já  :///niocbhiill'"
'  um embusteiro que é réu sete vezes e condenado uma vez já deveria estar no xilindró e não nos afrontando :///lnclhi2vjy'
' :///gjczwf2itv'
'focarmos mas alguns cairam na armadilha esquerda de tirar temer pf/mpf/stf nunca acusaramlula/dilma emexercíciosendo+corruptos :///8mtroq16lc'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
' @paulacamara_: moro dá 15 dias a lula para provar que valores bloqueados são de marisa   :///zql7jiuiqg ://t…'
"'@exame sim, a presidente do pavilhão 13 no presídio da papuda não viaja @gleisi, lula será preso e pagará por todos seus crimes '"
' @patyarqt: @o_antagonista gleisi finge que vive em uma realidade paralela ela sabe muito bem onde lula estará em 2018 '
' @patyarqt: @o_antagonista gleisi finge que vive em uma realidade paralela ela sabe muito bem onde lula estará em 2018 '
"' ‘eles estão mexendo com um político que não roubou, diz lula sobre investigações  :///0kkgx7qg2f'"
"'moro dá 15 dias a lula para provar que valores bloqueados são de marisa -  :///welovfkaux  explica aí, embusteiro '"
' @ezequiasns:  :///lkbhzb8rrh'
' @direita_blog: ‘a alma mais honesta deste país’ ataca de novo  #oantagonista :///viusub205f :///1qwzwgvpvl'
' @villamarcovilla:   #ptextinçãojá @villamarcovilla :///dzy0yf45a4'
