"'cadê o   daqui a pouco vc vai ser investigado também, abre o olho https://tco/ownrphk35l'"
'rt @paulacamara_: delação da odebrecht será usada para investigar palestras de lula    https://tco/oojudhwxrw'
'rt @paulacamara_: delação da odebrecht será usada para investigar palestras de lula    https://tco/oojudhwxrw'
'rt @jwellingtonmelo: o pt tem corrupção até em fotos  https://tco/7gowo9bpfe'
'rt @vempraruaminas: bh terá ato simbólico amanhã para desinfetar a praça da estação e agora estamos na praça 7 para gritar  ht…'
'rt @jwellingtonmelo: o pt tem corrupção até em fotos  https://tco/7gowo9bpfe'
'rt @paulacamara_: delação da odebrecht será usada para investigar palestras de lula    https://tco/oojudhwxrw'
'rt @ezequiasns:  https://tco/fifs2bimcm'
'rt @vempraruaminas: bh terá ato simbólico amanhã para desinfetar a praça da estação e agora estamos na praça 7 para gritar  ht…'
'rt @paulacamara_: delação da odebrecht será usada para investigar palestras de lula    https://tco/oojudhwxrw'
'rt @paulacamara_: lula por minas gerais - uma multidão no discurso de lula   https://tco/cjdj8efkmn'
'rt @ary_antipt: curitiba lula condenado  #lulacondenado https://tco/hec5ih5bzj'
'rt @rosevplb: não precisa querido vc se alto destrói sozinho seu fim chegou   para ontem https://tco/kdmwpp3hjh'
'rt @paulacamara_: delação da odebrecht será usada para investigar palestras de lula    https://tco/oojudhwxrw'
'já https://tco/bv5pux6sp5'
'rt @rcp01: lúcio funaro chora e delata toda cúpula do pmdb e diz que michel temer ajudava na corrupção  https://tco/e8xtqiivkr'
"'@mblivre @gleisi @lindberghfarias normal, me assustaria se eles pensassem no povo cambada de safados @gleisi e @lindberghfarias  #bolsonaro20'
'rt @jwellingtonmelo: o pt tem corrupção até em fotos  https://tco/7gowo9bpfe'
'rt @vempraruaminas: bh terá ato simbólico amanhã para desinfetar a praça da estação e agora estamos na praça 7 para gritar  ht…'
'rt @vempraruaminas: bh terá ato simbólico amanhã para desinfetar a praça da estação e agora estamos na praça 7 para gritar  ht…'
'rt @ezequiasns:  https://tco/lykrtb6blx'
'rt @jwellingtonmelo: o pt tem corrupção até em fotos  https://tco/7gowo9bpfe'
'rt @jwellingtonmelo: o pt tem corrupção até em fotos  https://tco/7gowo9bpfe'
'rt @rcp01: lúcio funaro chora e delata toda cúpula do pmdb e diz que michel temer ajudava na corrupção  https://tco/e8xtqiivkr'
'rt @ary_antipt: curitiba lula condenado  #lulacondenado https://tco/hec5ih5bzj'
'rt @paulacamara_: lula por minas gerais - na praça 7   https://tco/cvkhraoymk'
'retweeted paula (@paulacamara_):  lula por minas gerais - na praça 7   https://tco/pbon4lrdqn https://tco/mzkbrelcy4'
'rt @paulacamara_: lula por minas gerais - na praça 7   https://tco/cvkhraoymk'
"'@mblivre @ary_antipt @gleisi    r$ 1,00 dos aposentados pode'"
'@vanessasenadora sempre desconfiei da sua sanidade para mim quem finge q não vê a verdade eh mentirosa tanto quanto  '
'rt @niloborgna: retweeted paula (@paulacamara_):  lula por minas gerais - na praça 7   https://tco/pbon4lrdqn https://tco/mz…'
'rt @rcp01: lúcio funaro chora e delata toda cúpula do pmdb e diz que michel temer ajudava na corrupção  https://tco/e8xtqiivkr'
"'@detremura conservadores, esqueçam eles só contratam quem prometer votar no '"
'rt @paulacamara_: delação da odebrecht será usada para investigar palestras de lula    https://tco/oojudhwxrw'
'rt @niloborgna: retweeted paula (@paulacamara_):  lula por minas gerais - na praça 7   https://tco/pbon4lrdqn https://tco/mz…'
'  #lulainelegivel https://tco/94y2qlsqrs'
'rt @niloborgna: retweeted paula (@paulacamara_):  lula por minas gerais - na praça 7   https://tco/pbon4lrdqn https://tco/mz…'
'@veja o mtst quer furar a fila do cdhu e da cohabusam invasões p barganharisso não é justo #alckmin #mtst #semteto #sp #sp2 '
'rt @vempraruaminas: bh terá ato simbólico amanhã para desinfetar a praça da estação e agora estamos na praça 7 para gritar  ht…'
'rt @rcp01: lúcio funaro chora e delata toda cúpula do pmdb e diz que michel temer ajudava na corrupção  https://tco/e8xtqiivkr'
'rt @vempraruaminas: bh terá ato simbólico amanhã para desinfetar a praça da estação e agora estamos na praça 7 para gritar  ht…'
'  #lulainelegivel https://tco/zm11ijlcvr'
'rt @rcp01: lúcio funaro chora e delata toda cúpula do pmdb e diz que michel temer ajudava na corrupção  https://tco/e8xtqiivkr'
'rt @lenicelima:   #lulainelegivel  #intervencaomilitarja https://tco/d48anlhrxm'
'rt @rcp01: lúcio funaro chora e delata toda cúpula do pmdb e diz que michel temer ajudava na corrupção  https://tco/e8xtqiivkr'
'rt @paulacamara_: delação da odebrecht será usada para investigar palestras de lula    https://tco/oojudhwxrw'
'rt @vempraruaminas: bh terá ato simbólico amanhã para desinfetar a praça da estação e agora estamos na praça 7 para gritar  ht…'
'@lulapelobrasil '
'rt @vempraruaminas: bh terá ato simbólico amanhã para desinfetar a praça da estação e agora estamos na praça 7 para gritar  ht…'
'rt @mary_greicy:   #prisãosegundainstânciasim https://tco/0cphaib8de'
'rt @mary_greicy:   #prisãosegundainstânciasim https://tco/0cphaib8de'
'rt @mary_greicy:   #prisãosegundainstânciasim https://tco/0cphaib8de'
'rt @paulacamara_: delação da odebrecht será usada para investigar palestras de lula    https://tco/oojudhwxrw'
'rt @rcp01: lúcio funaro chora e delata toda cúpula do pmdb e diz que michel temer ajudava na corrupção  https://tco/e8xtqiivkr'
'rt @paulacamara_: delação da odebrecht será usada para investigar palestras de lula    https://tco/oojudhwxrw'
'rt @vempraruaminas: bh terá ato simbólico amanhã para desinfetar a praça da estação e agora estamos na praça 7 para gritar  ht…'
'rt @jwellingtonmelo: o pt tem corrupção até em fotos  https://tco/7gowo9bpfe'
'rt @paulacamara_: lula por minas gerais - na praça 7   https://tco/cvkhraoymk'
'rt @mary_greicy:   #prisãosegundainstânciasim https://tco/0cphaib8de'
'rt @paulacamara_: lula por minas gerais - na praça 7   https://tco/cvkhraoymk'
' https://tco/pgtte3k20d'
'@22haytham55 @blogdopim  em 2018'
'rt @oliveira27m: queremos a prisão do chefe  https://tco/q9cm7wtguu'
'rt @paulacamara_: lula por minas gerais - na praça 7   https://tco/cvkhraoymk'
'@22haytham55 @blogdopim é o unico jeito dele nao ser preso '
'@dilmabr meia duzia de mortadelas recebendo esse lixo #minasnãoquerlula'
'rt @mark_senkd:  quando a esquerda descobre maquiavel https://tco/ois3n13qag'
'rt @rosevplb: não precisa querido vc se alto destrói sozinho seu fim chegou   para ontem https://tco/kdmwpp3hjh'
'eu não penso tenho certeza #foratodos  https://tco/xyrzg85gwc'
'rt @jwellingtonmelo: o pt tem corrupção até em fotos  https://tco/7gowo9bpfe'
'rt @marimpnetto:  moro autoriza provas da odebrecht em investigação sobre palestras de lula https://tco/7jbty7g8sz via @uolno…'
'rt @marimpnetto:  moro autoriza provas da odebrecht em investigação sobre palestras de lula https://tco/7jbty7g8sz via @uolno…'
'          https://tco/zrg3nrqioe'
'rt @vempraruaminas: bh terá ato simbólico amanhã para desinfetar a praça da estação e agora estamos na praça 7 para gritar  ht…'
"'lindenberg (pt) fala em desnacionalização do transporte público, contra o uber não sabia que os motoristas eram gringos '"
'rt @rcp01: lúcio funaro chora e delata toda cúpula do pmdb e diz que michel temer ajudava na corrupção  https://tco/e8xtqiivkr'
'rt @r_a_f_a_e_l_l_:  https://tco/pgtte3k20d'
'rt @domvanderel: @lulapelobrasil '
'rt @paulacamara_: lula por minas gerais - na praça 7   https://tco/cvkhraoymk'
"'@demetrioflu @hortsy quando será que este ser ignóbil, salafrário, decrépito, mentecapto, ladrão, mentiroso, asqueroso, será preso já '
'rt @luttilippe: @lulapelobrasil quero ter feito daqui uma venezuela  se ferrou vagabundo  ditadorzinho de merda  https://tc…'
"'@exame quando será que este ser ignóbil, salafrário, decrépito, mentecapto, ladrão, mentiroso, asqueroso, será preso já '"
'oi alguém esperando p/ eleições2018 enquanto elles seguem depenando o br meirelles é/era o preferido de  sem razão é q ñ é https://tco'
'   #lixonews   eles adoram um bandido https://tco/9dv5vhusra'
'@marisascruz  haloween tupiniquim não é para os fracos 🎃🚔    #haloween2017 https://tco/dxkhapqcdj'
"'@requiaopmdb vamos andar de metrô lá na venezuela, pq o pt esqueceu de investir em transporte por 14 anos '"
'@henriquelima84 @lulapelobrasil # #dilmanacadeia #aecionacadeia'
'rt @vempraruaminas: bh terá ato simbólico amanhã para desinfetar a praça da estação e agora estamos na praça 7 para gritar  ht…'
'@alefrotabrasil espero que logo ele e todos que participaram do maior esquema de corrupção da historia apodreçam na cadeia '
'o pt contra o #uber '
'sou a favor da polícia bandido bom é bandido morto #forapsol  #cadeianeles'
'o pt é contra o #uber   #nãoaoplc28'
'primeiramente boa noite  '
'rt @paulacamara_: lula por minas gerais - na praça 7   https://tco/cvkhraoymk'
'vergonha @senadofederal '
'rt @jwellingtonmelo: o pt tem corrupção até em fotos  https://tco/7gowo9bpfe'
'rt @moraisfrancisco: o pt é contra o #uber   #nãoaoplc28'
'@exame onde isso só se for no estábulo #bolsonaro2018  '
'https://tco/83gmhwynom ruy barbosa - não se deixem enganar pelos cabelos brancos pois os canalhas também envelhecem  https://tco/w6ty46evll'
'rt @reiastrologia: @marisascruz  haloween tupiniquim não é para os fracos 🎃🚔    #haloween2017 https://tco/dxkhapqcdj'
'https://tco/83gmhwynom ruy barbosa - não se deixem enganar pelos cabelos brancos pois os canalhas também envelhecem  https://tco/cyrzu9bk5k'
'https://tco/83gmhwynom ruy barbosa - não se deixem enganar pelos cabelos brancos pois os canalhas também envelhecem  https://tco/mjclurqyg3'
'https://tco/83gmhwynom ruy barbosa - não se deixem enganar pelos cabelos brancos pois os canalhas também envelhecem  https://tco/lncfw7afk1'
'https://tco/83gmhwynom ruy barbosa - não se deixem enganar pelos cabelos brancos pois os canalhas também envelhecem  https://tco/tmk1mepewr'
'rt @jwellingtonmelo: o pt tem corrupção até em fotos  https://tco/7gowo9bpfe'
'https://tco/83gmhwynom ruy barbosa - não se deixem enganar pelos cabelos brancos pois os canalhas também envelhecem  https://tco/us455ptv89'
'https://tco/83gmhwynom ruy barbosa - não se deixem enganar pelos cabelos brancos pois os canalhas também envelhecem  https://tco/tnm2xpt04b'
'https://tco/83gmhwgmpm ruy barbosa - não se deixem enganar pelos cabelos brancos pois os canalhas também envelhecem  https://tco/xflgoqpkv9'
'https://tco/83gmhwynom ruy barbosa - não se deixem enganar pelos cabelos brancos pois os canalhas também envelhecem  https://tco/h16miuoa57'
'https://tco/83gmhwynom ruy barbosa - não se deixem enganar pelos cabelos brancos pois os canalhas também envelhecem  https://tco/3eb8p9eamg'
'https://tco/83gmhwynom ruy barbosa - não se deixem enganar pelos cabelos brancos pois os canalhas também envelhecem  https://tco/oayuqtg7tn'
'https://tco/83gmhwynom ruy barbosa - não se deixem enganar pelos cabelos brancos pois os canalhas também envelhecem  https://tco/pxvm2pkoga'
'https://tco/83gmhwynom ruy barbosa - não se deixem enganar pelos cabelos brancos pois os canalhas também envelhecem  https://tco/xkqfp4cotl'
'https://tco/83gmhwynom ruy barbosa - não se deixem enganar pelos cabelos brancos pois os canalhas também envelhecem  https://tco/cegnqhjfro'
'https://tco/83gmhwynom ruy barbosa - não se deixem enganar pelos cabelos brancos pois os canalhas também envelhecem  https://tco/hk4gdufngf'
'https://tco/83gmhwynom ruy barbosa - não se deixem enganar pelos cabelos brancos pois os canalhas também envelhecem  https://tco/z7skjbnzen'
'https://tco/83gmhwynom ruy barbosa - não se deixem enganar pelos cabelos brancos pois os canalhas também envelhecem  https://tco/opzcvfspmw'
'https://tco/83gmhwgmpm ruy barbosa - não se deixem enganar pelos cabelos brancos pois os canalhas também envelhecem  https://tco/rwjncpwmss'
"'ouvi uma rajada tão grande de fogos agora, que até pensei que alguém comemorava '"
'https://tco/83gmhwynom ruy barbosa - não se deixem enganar pelos cabelos brancos pois os canalhas também envelhecem  https://tco/2i5tygznyi'
'https://tco/83gmhwynom ruy barbosa - não se deixem enganar pelos cabelos brancos pois os canalhas também envelhecem  https://tco/uwwd6uognv'
'o pt acabou com #uber @senadofederal '
'https://tco/83gmhwynom ruy barbosa - não se deixem enganar pelos cabelos brancos pois os canalhas também envelhecem  https://tco/eybzgx03cp'
'https://tco/83gmhwynom ruy barbosa - não se deixem enganar pelos cabelos brancos pois os canalhas também envelhecem  https://tco/wudtl4hrla'
'@guilhermekroger @minesporte é melhor investir em saúde educação e segurança do que em esporte e '
"'de roubar a jararaca entende, mas o meliante demagogo rouba é milhões de reais, dólares, euros  https://tco/fzom00gnwn'"
'https://tco/83gmhwynom ruy barbosa - não se deixem enganar pelos cabelos brancos pois os canalhas também envelhecem  https://tco/mqyt67houq'
'https://tco/83gmhwynom ruy barbosa - não se deixem enganar pelos cabelos brancos pois os canalhas também envelhecem  https://tco/kwxx5flsqg'
'https://tco/83gmhwynom ruy barbosa - não se deixem enganar pelos cabelos brancos pois os canalhas também envelhecem  https://tco/lpamqky2jo'
'https://tco/83gmhwynom ruy barbosa - não se deixem enganar pelos cabelos brancos pois os canalhas também envelhecem  https://tco/ni5qlhc9f8'
'https://tco/83gmhwynom ruy barbosa - não se deixem enganar pelos cabelos brancos pois os canalhas também envelhecem  https://tco/v6sltwxysl'
'https://tco/83gmhwynom ruy barbosa - não se deixem enganar pelos cabelos brancos pois os canalhas também envelhecem  https://tco/ohic48tmwt'
'https://tco/83gmhwynom ruy barbosa - não se deixem enganar pelos cabelos brancos pois os canalhas também envelhecem  https://tco/wn4nws9upf'
'já to imaginando o @lulapelobrasil  fazendo discurso na prisão incitando greve geral de banho de sol  https://tco/6gtuwcre6c'
'rt @moraisfrancisco: o pt acabou com #uber @senadofederal '
'#naoaoplc28 @uber_brasil @mblivre @faxinanopoder_ @conexaopolitica @coxinhabrasil61 @aprmarau @vemplutabrasil #globolixo  https://tco/vtr1nibu'
'rt @moraisfrancisco: o pt é contra o #uber   #nãoaoplc28'
'rt @paulacamara_: delação da odebrecht será usada para investigar palestras de lula    https://tco/oojudhwxrw'
'rt @moraisfrancisco: o pt acabou com #uber @senadofederal '
'rt @paulacamara_: lula por minas gerais - na praça 7   https://tco/cvkhraoymk'
'rt @paulacamara_: lula por minas gerais - na praça 7   https://tco/cvkhraoymk'
'hora de irmos p ruaaa #brasilcombretasemoro   https://tco/gtvvr3lwks'
"'chupa petezada, ptralhas @lindberghfarias @ptbrasil @gleisi @ptnuncamais  https://tco/kys4bahld4'"
' #bolsonaro2018 https://tco/4ngkivapsi'
'https://tco/83gmhwynom ruy barbosa - não se deixem enganar pelos cabelos brancos pois os canalhas também envelhecem  https://tco/qmrf8ctveo'
'rt @paulacamara_: delação da odebrecht será usada para investigar palestras de lula    https://tco/oojudhwxrw'
'falta de vergonha um jornal escrever um lixo desse fake news pqp  https://tco/eenshiqgl3'
'@gabrlelplnhelro haloween tupiniquim - o filme   🎃🔥🍩  #thenoite   https://tco/mlyzucomqn'
"'corações emitidos pelo @bancocentralbr , de nomes popular: cascalho ou arame #lula2018  https://tco/m4jt0ujjc4'"
'rt @paulacamara_: lula por minas gerais - na praça 7   https://tco/cvkhraoymk'
'rt @jwellingtonmelo: o pt tem corrupção até em fotos  https://tco/7gowo9bpfe'
'rt @vempraruaminas: bh terá ato simbólico amanhã para desinfetar a praça da estação e agora estamos na praça 7 para gritar  ht…'
'rt @jwellingtonmelo: o pt tem corrupção até em fotos  https://tco/7gowo9bpfe'
'rt @jwellingtonmelo: o pt tem corrupção até em fotos  https://tco/7gowo9bpfe'
'rt @paulacamara_: delação da odebrecht será usada para investigar palestras de lula    https://tco/oojudhwxrw'
'rt @paulacamara_: lula por minas gerais - uma multidão no discurso de lula   https://tco/cjdj8efkmn'
'@g1  esse é o valor pago em persistir no desarmamento do cidadão #globolixo #forajudithbutler  https://tco/5l2il4ccnl'
'rt @paulacamara_: lula por minas gerais - na praça 7   https://tco/cvkhraoymk'
'@lulapelobrasil  https://tco/m9ifqilfsj'
'@estadao #caetanopedofilo '
'#buzinaço  em bh: https://tco/vcyofw22rd via @youtube'
'@folha lula é um porco corrupto '
"'@fernandoholiday cretino, preconceituoso esse deputado do pt    #nãoplc28 #leidoretrocesso #juntospelamobilidade #euapoioubercabify99'"
'rt @paulacamara_: delação da odebrecht será usada para investigar palestras de lula    https://tco/oojudhwxrw'
'rt @paulacamara_: delação da odebrecht será usada para investigar palestras de lula    https://tco/oojudhwxrw'
'rt @paulacamara_: delação da odebrecht será usada para investigar palestras de lula    https://tco/oojudhwxrw'
'rt @paulacamara_: delação da odebrecht será usada para investigar palestras de lula    https://tco/oojudhwxrw'
"'@exame vai tomar no cu, #fakenews boicote à essa revista exame e à #vejalixo vagabundos que fazem propaganda de corrupto   https://tco/pitj'
' #foradilma #foratemer #foracorruptos #bolsonaro2018 https://tco/zxubjwkysr'
'rt @paulacamara_: delação da odebrecht será usada para investigar palestras de lula    https://tco/oojudhwxrw'
'com certeza não é agora mesmo que vc vai roubarvc roubou durante 16 anos agora não vai mais pois em breve vc estará preso https://tco/g9bb'
'@folha credibilidade igual a uma nota de 3 reais ahahaha '
'rt @paulacamara_: delação da odebrecht será usada para investigar palestras de lula    https://tco/oojudhwxrw'
'@gabrlelplnhelro fora estadourgente  🎃🚔    #haloween2017 https://tco/lyf4uwjl8m'
'rt @paulacamara_: delação da odebrecht será usada para investigar palestras de lula    https://tco/oojudhwxrw'
'rt @paulacamara_: delação da odebrecht será usada para investigar palestras de lula    https://tco/oojudhwxrw'
"'na verdade, não fosse internet,redes sociais,etc, imprensa nos faria engolir lula/dilma/pt até nos transformar numa venezuela, https://tco/'
'não tem carnaval e nem virada de ano que bata com a prisão do chefão '
"'haja ignorância, mau caratismo e incompetência p/concorrer com lula  https://tco/44aabmr1ue'"
"'@infomoney ei, lula corrupto, vai tomar no cú '"
'rt @paulacamara_: delação da odebrecht será usada para investigar palestras de lula    https://tco/oojudhwxrw'
"'rt @lcrive: haja ignorância, mau caratismo e incompetência p/concorrer com lula  https://tco/44aabmr1ue'"
"'rt @lcrive: haja ignorância, mau caratismo e incompetência p/concorrer com lula  https://tco/44aabmr1ue'"
'@lulapelobrasil vocês estão de brincadeira a globo durante o período de vocês foi a quem mais ganha dinheiro '
'@caranovanocongr @lulapelobrasil @1313lulasempre @gleisi @ptbrasil '
'rt @eduard1003:  #foradilma #foratemer #foracorruptos #bolsonaro2018 https://tco/zxubjwkysr'
"'👏👏👏👏palmas para os mineiros,@lulapelobrasil são poucos os alienados q ainda acreditam em vc e na sua corjaminas é @jairbolsonar'
'pq não publicitar   https://tco/fbeow04qxi'
'rt @cctonelli: não tem carnaval e nem virada de ano que bata com a prisão do chefão '
'rt @neusamandrade: hoje é dia fazer isso virar viral  @letraslimitadas @o_antagonista @marisascruz @aeciofaraujo https://tco/…'
'@exame não só os corações como também os bolsos dos brasileiros e os cofres públicos   #foratemer'
'rt @vempraruaminas: bh terá ato simbólico amanhã para desinfetar a praça da estação e agora estamos na praça 7 para gritar  ht…'
'rt @vempraruaminas: bh terá ato simbólico amanhã para desinfetar a praça da estação e agora estamos na praça 7 para gritar  ht…'
'@ptbrasii '
'@ptbrasii '
'@exame lula rouba milhões '
'me orgulho por não seguir alguém que já passou 31 dias em cana por motivo de segurança nacional  #bolsonaro2018 https://tco/q35s24mfbl'
'rt @luanportugal_: me orgulho por não seguir alguém que já passou 31 dias em cana por motivo de segurança nacional … '
'rt @paulacamara_: delação da odebrecht será usada para investigar palestras de lula    https://tco/oojudhwxrw'
'@dilmabr kkkk a unica coisa q o lula vai ganhar vai ser uma bela de uma sentença '
'@lulapelobrasil   https://tco/x2z4p0smd1'
'rt @jwellingtonmelo: o pt tem corrupção até em fotos  https://tco/7gowo9bpfe'
"'tem que replicar o máximo possivel pra que fique guardado na internet,  como se fosse um eco  https://tco/yquzmkijst'"
"'@lulapelobrasil sai pra lá cão miúdo, aqui no nordeste tu não tem mais vez '"
'condecendentes foram os indivíduos desse país de permitir que dois bandidos como vocês ditassem-lhe as regras  https://tco/uzbaccn2zc'
'@ronaldocaiado é inacreditável '
'@dilmabr kkkkkkkkkkkk corre lá no sbt agora e pede uma vaga na a praça é nossa que a sra virou uma excelente comediante  '
'mas não perca o foco  https://tco/ovey286q3a'
'rt @leoprr01: mas não perca o foco  https://tco/ovey286q3a'
'rt @vempraruaminas: bh terá ato simbólico amanhã para desinfetar a praça da estação e agora estamos na praça 7 para gritar  ht…'
'rt @paulacamara_: delação da odebrecht será usada para investigar palestras de lula    https://tco/oojudhwxrw'
'já passou da hora de  @mpf_pgr @policiafederal https://tco/bxnxtda5m8'
' https://tco/ztdaf9zuyj'
'rt @claudioportuga7: @ericamaral10 @midispatriota bando de canalhas morte ao petismo   já'
"'vou deixar o temeroso vampirão de lado, pois tenho algo mais importante para fazer  #em2018renove'"
"'rt @spd_33: 🔰em mg, @lulapelobrasil é recebido aos gritos de ladrão, ladrão #lulanuncamais    #saidapeladireita https://tco…'"
'rt @spd_33: 🔰fracasso total o comício de luladrão em governador valadares-mg   #lulanuncamais https://tco/z0dnhy5yfh'
"'rt @carla_valente: 👏👏👏👏palmas para os mineiros,@lulapelobrasil são poucos os alienados q ainda acreditam em vc e na sua corja…'
'rt @spd_33: 🔰fracasso total o comício de luladrão em governador valadares-mg   #lulanuncamais https://tco/z0dnhy5yfh'
"'rt @spd_33: 🔰em mg, @lulapelobrasil é recebido aos gritos de ladrão, ladrão #lulanuncamais    #saidapeladireita https://tco…'"
'rt @rcp01: lúcio funaro chora e delata toda cúpula do pmdb e diz que michel temer ajudava na corrupção  https://tco/e8xtqiivkr'
