texto
'@odimau @gduvivier não adianta: pelegos do pt têm merda na cabeça  gosta de comunista ladrãovai pra cuba ver o que ébom #bolsonaro2018 ht'
'@lulapelobrasil cadastramento dos novos dirigentes do @ptbrasil  https://tco/fonoylplow'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'@graavieira vc quer eh mortadela e bolsa família'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'@esuplicy '
'@lulapelobrasil eis o caminho e a verdade #bolsonaro2018  https://tco/kgd2wywqbx'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'  #lulainelegivel https://tco/mxxnqczltx'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
"'@lulapelobrasil eles provaram, por isso é réu em 7 inquéritos e já condenado em 1 vai faltar dedos pra tantos inquéritos '"
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
"'rt @adrianadririo: olê olê, olê olê, eu fui pra rua pra derrubar o pt   chora petista - la banda loka liberal  https://t…'"
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
"'@lulapelobrasil verdade molusco, as pessoas de bem querem , que venha a decisão do trf4 para ir dormir em um presídio'"
' https://tco/6bnrgtkich'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'@ptbrasil @lulapelobrasil #obrasilqueopovoquer  https://tco/iajq68hmcm'
'rt @luxajuda: bandido diz que bandido tem que ser preso    https://tco/wk9gzmzbyl'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'@luxajuda sábias palavras '
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @fotoclanovaes: @muylaerte não tenho estômago para assistir vídeos do '
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
"'rt @adrianadririo: olê olê, olê olê, eu fui pra rua pra derrubar o pt   chora petista - la banda loka liberal  https://t…'"
'rt @luxajuda: bandido diz que bandido tem que ser preso    https://tco/wk9gzmzbyl'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @fotoclanovaes: @muylaerte não tenho estômago para assistir vídeos do '
'rt @adrianadririo:  preso e condenado pelo bem do brasil  atirei o pau no lula https://tco/jgakxpfjjl'
'rt @titoporto10: @lulapelobrasil  https://tco/mppeo5gtlz'
'@bbcbrasil continuem assim força companheiros '
'@lulapelobrasil vc é essa elite né '
'@lulapelobrasil lula na cadeia queremos '
"'@ptbrasil @ajulysantos @lulapelobrasil 15 anos no poder e deixaram o que um país falido, sem educação, sem saúde e nas mãos da bandidage'
'rt @luxajuda: eu sou honesto doutor moro   https://tco/fgqk0xekmw'
'rt @luxajuda: eu sou honesto doutor moro   https://tco/fgqk0xekmw'
'vamos dizer pra ele o que o brasil quer  https://tco/wdjv8uvkzs'
'@lulapelobrasil quinta feira é dia de pinga no café da manhã chupa @jqteixeira aqui o fim de semana já começou #pas '
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @iaragb: @lulapelobrasil lula na cadeia queremos '
'bandido quer ser presidente    chupa que a cana é doce https://tco/b9kvmun6vz'
'pt bandido e ladrão quer demonstrar ética e integridade   https://tco/98xsdbxipx'
'@marciafab @lulapelobrasil '
'rt @gilmargdss: #lulareu mais uma vez na operação #zelotes veja no link abixo https://tco/w30fyx9d5u   #lavajato #lula…'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @gilmargdss: veja a discussão do #lula com juiz #sérgiomoro no link https://tco/pzea98knpg #lulapreso   $bolsomito #bolsonaro #b…'
'rt @iaragb: vamos dizer pra ele o que o brasil quer  https://tco/wdjv8uvkzs'
'rt @luxajuda: pt bandido e ladrão quer demonstrar ética e integridade   https://tco/98xsdbxipx'
'https://tco/mopy4l7al4 #politica #lavajato #policiafederal #corrupçao #foracorruptos #ptnuncamais  #foratemer #sos #brasil'
'chupaqueacanaédoce quer ser presidente do brasil    https://tco/hos5tdcqd2'
"'para uma legião de seguidores, o corrupto lula continua sendo o queridinho #opniaoenoticia  https://tco/jrzkbompbi https://tco/q5b9wqjit3'"
'rt @gilmargdss: veja no link abaixo o depoimento de palocci ao juiz sérgio moro  https://tco/7uarnsgpzf #lavajato #lavajato  #lulan…'
"'rt @gilmargdss: janot denuncia lula, dilma, gleisi,palocci, edinho, mantega, paulo bernardo e vaccari https://tco/90tolnuqwi    #fo…'"
'hihihi    https://tco/6kbjneyjnf'
"'para uma legião de seguidores, o corrupto lula continua sendo o queridinho #opniaoenoticia  https://tco/0kzhg4bhzz https://tco/iefkiyo3cf'"
"'@lulapelobrasil claro, porque o resto que tem ou está no nome de laranjas ou bloqueado na justiça vá pro inferno lula '"
'chupaqueacanaédoce quer ser presidente do brasil pra não ser preso   https://tco/yen9aqzeir'
'vitória do povo brasileiro  https://tco/idsyefuvu8'
'xupakeakanaedoce diz que a cana é doce mas não quer ir em cana    https://tco/hos5tdcqd2'
"'#brasilqueopovoquer o brasil livre da quadrilha do pt, pmdb e psdb '"
'onde xupakeakanaedoce escondeu o dinheiro que o pt roubou do brasil   https://tco/hos5tdcqd2'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'xupakeakanaedoce vai ser preso antes do natal ou depois do natal    https://tco/hos5tdcqd2'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @iaragb: vamos dizer pra ele o que o brasil quer  https://tco/wdjv8uvkzs'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @luxajuda: xupakeakanaedoce vai ser preso antes do natal ou depois do natal    https://tco/hos5tdcqd2'
"'para destruir o brasil, aperta 13 e confirma #ptnuncamais  #tocommoro https://tco/9yx1s1yl2u'"
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'@josemedeirosmt '
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
"'@uolnoticias rato, sem vergonha, pinguço, safado, bandido, covarde, filho de uma puta, ladrão, assassino, vagabundo, pé de chinelo, jument'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'@bbcbrasil seria um favor enorme a nação  #chegadepropina'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'e agora companheiros   kalil bittar entrega lula o sítio de atibaia é dele   https://tco/jovcsrexvf'
'@lulapelobrasil #intervencaomilitar  '
'lula defende renovação e diz que pt precisa de lideranças mais espertas espertas em que sentido  https://tco/mj41jywspe'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
"'dos grandes intelectuais formadores de opiniao desse pais, e que defendem #minc, quantos tiveram o privilegio da lei rouanet '"
"'#brasilqueopovoquer  tem lula, maior ladrão da história deste país na cadeia '"
"'joice nos representa sua leitura, independência e sinceridade é + q todos jornalistas somados #mourao #gotrump  bolsonaro2018'"
'94% dos brasileiros querem e esperam a prisão de lula ladrão    chega de impunidade https://tco/vyhhavjpxt'
' independe dos idiotas que o apoiam https://tco/k0xi9jplni'
'rt @bhuoriescaussoy: lula defende renovação e diz que pt precisa de lideranças mais espertas espertas em que sentido  ht…'
"'@gleisi não esqueça, queremos você e seu bando na cadeia #brasilqueopovoquer '"
'comando do pt discute suspensão de antônio palocci do partido e o lula quando irá ser suspenso  https://tco/b3c6cp89jx'
'rt @bhuoriescaussoy: lula defende renovação e diz que pt precisa de lideranças mais espertas espertas em que sentido  ht…'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
"'‘eles estão mexendo com um político que não roubou, diz lula, sobre investigações https://tco/quio14qcmb  #lulaladrao'"
'rt @mary_greicy: 94% dos brasileiros querem e esperam a prisão de lula ladrão    chega de impunidade https://tco/vyhha…'
'#brasilqueopovoquer   #ptnuncamais'
'defesa tenta suspender ação que envolve compra de prédio para o @inst_lula https://tco/3ksbxw3xyh ñ conseguirão '
'rt @titoporto10: @lulapelobrasil  https://tco/mppeo5gtlz'
'rt @titoporto10:  independe dos idiotas que o apoiam https://tco/k0xi9jplni'
'@mari57061862 antes fosse  #ptnuncamais  #brasilqueopovoquer'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'sem limites para ser ridículo  https://tco/ic5nyhc4l2'
"'esqueceu da segurança, senador @ronaldocaiado mas, entendo, pagamos para políticos @democratas #seguranca #maioridadepenal  https://tco/fgo'
'@veja e vc mexeu com um povo que não é idiota '
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'#brasil  pelo fim da impunidade https://tco/xno7q3fisn'
'@lindberghfarias o #brasilqueopovoquer é um país livre dessa ocrim que destruiu o país  https://tco/uwmpip4lnz'
'rt @bhuoriescaussoy: comando do pt discute suspensão de antônio palocci do partido e o lula quando irá ser suspenso  https:/…'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'@confiante3 @lulapelobrasil kkkkk eu quero '
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
"'nine fingers, prestes a virar ennearéu '"
'rt @paulxbrow2: e agora companheiros   kalil bittar entrega lula o sítio de atibaia é dele   https://tco/jovcsrexvf'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'te anima não petralha o que foi aceito foi a análise do pedido tem que provar que ele fez algo errado  https://tco/gzps6ssims'
'realmente o brasil é o país da piada pronta 😂🤣😂  @belcarvalho5 @ppreacarn @athiabalba @macunaimaz @japadrika @luciamoura00 https://'
'rt @bhuoriescaussoy: lula defende renovação e diz que pt precisa de lideranças mais espertas espertas em que sentido  ht…'
'rt @giselecaso: realmente o brasil é o país da piada pronta 😂🤣😂  @belcarvalho5 @ppreacarn @athiabalba @macunaimaz… '
"'#brasilqueopovoquer é um país decente e só conseguiremos essa vitória quando o canalha for p/ cadeia, onde é seu devido lugar  https://t'
'deus é pai https://tco/vxdzgpfpmu'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @giselecaso: realmente o brasil é o país da piada pronta 😂🤣😂  @belcarvalho5 @ppreacarn @athiabalba @macunaimaz… '
'não roubou poucoroubou muito junto com a quadrilha do pt     https://tco/nugogqsgcv'
'rt @giselecaso: realmente o brasil é o país da piada pronta 😂🤣😂  @belcarvalho5 @ppreacarn @athiabalba @macunaimaz… '
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'@blogdojefferson vai ser um misto de ópera bufa e bebê de rosimary que povo doido '
'@terezaneuman1 me dá asco ver pessoas defendendo um canalha corrupto preguiça e hipocrisia faz parte do seu bando '
'segundamente '
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
"'pf indicia os irmãos batista, amigões de lula e dilma, por uso de informação privilegiada #ucho  https://tco/rwpungxwgl https://tco/mlabu'
'rt @bhuoriescaussoy: comando do pt discute suspensão de antônio palocci do partido e o lula quando irá ser suspenso  https:/…'
'@exame hahaha conversinha furada e tem gente que acredita nesse cidadão #reformapolitica #nãoaodestritão  #limpezanocongresso'
'@exame algo melhor = venezuela 20 '
"'@jandira_feghali ele só está tentando validar a própria delação premiada você deveria torcer para a assinatura ser verdadeira, trouxa ''
'rt @amaury_andrade: @blogdojefferson vai ser um misto de ópera bufa e bebê de rosimary que povo doido '
"'rt @direita_blog: pf indicia os irmãos batista, amigões de lula e dilma, por uso de informação privilegiada #ucho … '"
"'rt @direita_blog: pf indicia os irmãos batista, amigões de lula e dilma, por uso de informação privilegiada #ucho … '"
'#globonews  temer aecio gleisi lindbergh f todos na cadeia queremos dinh de volta aos cofres públicos'
'@lulapelobrasil #bolsonaro2018   https://tco/ezjdgquqf5'
'lula a policiais federais: “são verdadeiros analfabetos políticos”  mas q fdp   https://tco/tsm42prvp9'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'#rockinrionomultishow mto rock     queremos dinheiro de volta aos cofres públicos'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @iaragb: vamos dizer pra ele o que o brasil quer  https://tco/wdjv8uvkzs'
"'@veja que nada, foi tudo a dona marisa aeu vagabundo, ladrão   #bolsonaro2018'"
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'@luiz_prudenci @geazi_damarys @gleisi falou o wolverine  #ptnuncamais  #saquearamobrasik'
'moro dá 15 dias a lula para provar que valores bloqueados são de marisa   https://tco/zql7jiuiqg https://tco/wahonlwf0z'
'@luiz_prudenci @geazi_damarys @gleisi assim falou o wolverine   #13milhoesdereaisapreendidos #ptnuncamais'
'rt @pastorliomar: não roubou poucoroubou muito junto com a quadrilha do pt     https://tco/nugogqsgcv'
"'@terezaneuman1 ninguém esta querendo matar, afinal ja esta morto e em 2018 iremos enterra-lo definitivamente '"
' https://tco/gtzxqkvfrc'
'@lulapelobrasil e depois desviaram bilhões de reais e montaram o maior esquema de máfia governamental já visto no #brasil  #ptnuncamais'
'rt @giselecaso: realmente o brasil é o país da piada pronta 😂🤣😂  @belcarvalho5 @ppreacarn @athiabalba @macunaimaz… '
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @giselecaso: realmente o brasil é o país da piada pronta 😂🤣😂  @belcarvalho5 @ppreacarn @athiabalba @macunaimaz… '
"'@estadao pior ele, analfabeto educacional e corrupto, mas vai ter a opção de fazer o telecurso 2000 na papuda '"
"'meu deus, quanta blasfêmia em uma só frase, cadeia te espera molusco  https://tco/fqfbnzlx8n'"
"'lula é hostilizado em salvador  tchau, querido   já  https://tco/niocbhiill'"
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
"'então, que a justiça puna o @ptbrasil e a sra @gleisi por não cumprimento da lei, pois lula estará preso  https://tco/2khbpwzbfz'"
'rt @paulacamara_: moro dá 15 dias a lula para provar que valores bloqueados são de marisa   https://tco/zql7jiuiqg https://t…'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'@lulapelobrasil estamos participando e pedindo  e #bolsonaro2018'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'@giselecaso @athiabalba @belcarvalho5 @ppreacarn @macunaimaz @japadrika @luciamoura00 ah tá   @veja'
'rt @renansil54: #tocommoro   '
"'não roubou pouco   ‘eles estão mexendo com um político que não roubou, diz lula sobre investigações https://tco/x72hwb8rb7'"
'@jornaloglobo '
'mais uma conquista do @lulapelobrasil  https://tco/41lzhih9pm'
'rt @gilmargdss: #lulareu mais uma vez na operação #zelotes veja no link abixo https://tco/w30fyx9d5u   #lavajato #lula…'
'rt @gilmargdss: veja a discussão do #lula com juiz #sérgiomoro no link https://tco/pzea98knpg #lulapreso   $bolsomito #bolsonaro #b…'
'rt @gilmargdss: veja no link abaixo o depoimento de palocci ao juiz sérgio moro  https://tco/7uarnsgpzf #lavajato #lavajato  #lulan…'
"'rt @gilmargdss: janot denuncia lula, dilma, gleisi,palocci, edinho, mantega, paulo bernardo e vaccari https://tco/90tolnuqwi    #fo…'"
'rt @paulacamara_: moro dá 15 dias a lula para provar que valores bloqueados são de marisa   https://tco/zql7jiuiqg https://t…'
'o cara pra defender o lula de duas uma: está agindo de má fé ou foi lobotizado  '
'rt @anaamvs_sanches: @giselecaso @athiabalba @belcarvalho5 @ppreacarn @macunaimaz @japadrika @luciamoura00 ah tá   @veja'
'@jc_pe '
'rt @paulacamara_: nova propaganda do pt é afronta ao povo brasileiro   https://tco/46qrlgdbfv https://tco/kvirsxbveb'
'rt @bhuoriescaussoy: lula defende renovação e diz que pt precisa de lideranças mais espertas espertas em que sentido  ht…'
'@jornaloglobo @jwellingtonmelo que não roubou pouco  pilantra há de morrer na cadeia #lulachefedaorcrim '
'subprocuradora não defendeu suspeição de moro https://tco/wbc7sj8kmz #lulanuncamais  '
'@estadao na frente de moro vira moça '
'rt @arcofi: subprocuradora não defendeu suspeição de moro https://tco/wbc7sj8kmz #lulanuncamais  '
'@rickmazzorana  + petistas'
'@janainadobrasil vão inventar agora a suspeição do moro e arguir nulidades  que palhaçada'
'rt @arcofi: subprocuradora não defendeu suspeição de moro https://tco/wbc7sj8kmz #lulanuncamais  '
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'@janainadobrasil  será presidente se essa palhaçada continuar'
'rt @arcofi: subprocuradora não defendeu suspeição de moro https://tco/wbc7sj8kmz #lulanuncamais  '
'@spacediegoghost @mariadorosario @ptbrasil        #privatizatudo'
'@luciano_ger @mariadorosario #privatizatudo   '
'  #lulainelegivel https://tco/y6mtf0gllx'
'rt @arcofi: subprocuradora não defendeu suspeição de moro https://tco/wbc7sj8kmz #lulanuncamais  '
"'@ptnacional/@ptbrasil vai discutir brasil que o povo quer#respostaimediata :um país com  fora isso, nenhum acordo https://tco/6srakw4px6'"
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'94% dos brasileiros querem a #extinçãodopt e seus aliados políticos corruptos   https://tco/3g0bvjhldd'
'essa nova desta defesa kkkk  https://tco/j4bujcv4mo'
' https://tco/7ahw0jlu48'
'🎥 🇧🇷 #revoltadosonline no front 🎥 👍 #compartilhe  usem a hashtag  juntos somos mais fortes e com https://tco/zal3lcjqah'
'rt @patygiani:  https://tco/177wtkcdyl'
'rt @paulacamara_: moro dá 15 dias a lula para provar que valores bloqueados são de marisa   https://tco/zql7jiuiqg https://t…'
'@mary_mayah @terezaneuman1 demorou já👊👊'
"'lula, o maior ladrao da historia do brasil ainda solto, isso é uma vergonha  #luladrao #vergonhanacional #justiça'"
"'@frank16ortela @youtube bode expiatório  🙈🙈🙈🤦‍♀️🤦‍♀️🤦‍♀️   por favor, não ofenda o bode  #lulachefedaor'
"'serve para as pessoas não esquecerem quem é o maior ladrão do país, só isso tá bom, né  @ptbrasil @lulapelobrasil https://tco/qvxpbfaf'
'rt @marcellusberro: @mary_mayah @terezaneuman1 demorou já👊👊'
'@desconh21 @canedo3105 @jqteixeira @pabllovittar tudo no seu devido tempo '
' invadir um país pela selva tendo os marines é idéia de comunista burro o  brasil  reforça as fronteiras para o lixo não sair https://tco'
'rt @giselecaso: realmente o brasil é o país da piada pronta 😂🤣😂  @belcarvalho5 @ppreacarn @athiabalba @macunaimaz… '
'@o_antagonista @maryzina '
'rt @bhuoriescaussoy: lula defende renovação e diz que pt precisa de lideranças mais espertas espertas em que sentido  ht…'
' 👍🇧🇷 https://tco/ghexjm4hhx'
"'ah sim, lula sairá vencedor se concorrer,a lava privadas da cadeia @gleisi vc tá certa  #lulanuncamais https://tco/tea0pctgpj'"
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'@lulapelobrasil '
'@jornaloglobo kkkk é por declarações como esta que este traste que arruinou o país aparece no google como  o homem mais mentiroso do mundo'
'rt @mary_greicy: 94% dos brasileiros querem a #extinçãodopt e seus aliados políticos corruptos   https://tco/3g0bvjhldd'
'rt @giselecaso: realmente o brasil é o país da piada pronta 😂🤣😂  @belcarvalho5 @ppreacarn @athiabalba @macunaimaz… '
'rt @somerlux: @humbertocostapt  #rockinrio2017 #rockinrio  #ptroubouinibidores anfepramona femproporex mazind… '
'botem logo o chefe da orcrim  com seus cúmplices p acabar com esse mimimi  basta de impunidade 😤 https://tco/7j4mazqhii'
'@o_antagonista gleisi finge que vive em uma realidade paralela ela sabe muito bem onde lula estará em 2018 '
'rt @paulxbrow2: e agora companheiros   kalil bittar entrega lula o sítio de atibaia é dele   https://tco/jovcsrexvf'
"'se não cravarmos ele ficará impunehá movimentação da esquerda no sentido de mantê-lo impune,dallagnol esteve na casa decaetano'"
"'rt @lcrive: se não cravarmos ele ficará impunehá movimentação da esquerda no sentido de mantê-lo impune,dallagnol esteve na c…'"
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'@metropoles queremos lula preso   escreve ai   '
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4'
'rt @fabiojcbranco: @gleisi #ptnuncamais '
'#satander  #foratemer https://tco/hulqtpdryk'
"'@lindberghfarias o brasil tem fome de justiça também,    e #bolsonaro2018'"
'#intervencaomilitar  #foratemer https://tco/z6x8nqr6hu'
'‘a alma mais honesta deste país’ ataca de novo  #oantagonista https://tco/viusub205f https://tco/1qwzwgvpvl'
'#gotrump  #foratemer https://tco/3dy5ny2roq'
'importante é o se concorrer😂😂😂 do tipo não vai acontecer  https://tco/3wmzk4pkbw'
"'‘eles estão mexendo com um político que não roubou, diz lula sobre investigações https://tco/jxkenth3x8  roubou, sim  '"
"'rt @fmaier50: lula é hostilizado em salvador  tchau, querido   já  https://tco/niocbhiill'"
'  um embusteiro que é réu sete vezes e condenado uma vez já deveria estar no xilindró e não nos afrontando https://tco/lnclhi2vjy'
' https://tco/gjczwf2itv'
'focarmos mas alguns cairam na armadilha esquerda de tirar temer pf/mpf/stf nunca acusaramlula/dilma emexercíciosendo+corruptos https://tco/8m'
